datetime,Shortwave_Wm2,sum_Longwave_Radiation_Downwelling_wattPerMeterSquared,AirTemp_C,median_Ten_Meter_Elevation_Wind_Speed_meterPerSecond,sum_Precipitation_millimeterPerDay,Water_Secchi_m,TP_load_g_per_d
2016-08-05 13:00:00,570.294438982877,-43.70844901963898,26.3579259259259,4.718307640886807,0.0,2.7601961116226157,0.0
2016-08-05 14:00:00,530.9305822811426,-42.119453828207725,26.6234814814815,4.616569109964905,0.0,2.727902767379875,0.0
2016-08-05 15:00:00,469.66826370857945,-41.75535256736799,26.8900740740741,4.536154238078926,0.0,2.6986632342525145,0.0
2016-08-05 16:00:00,351.7287158764404,-37.21874593328346,26.3879259259259,3.9052747249314947,0.0,2.6731557836921715,0.0
2016-08-05 17:00:00,229.87885869994426,-31.643334608351836,25.8882222222222,3.2790959044159047,0.0,2.6546271973453273,0.0
2016-08-05 18:00:00,82.33816420432764,-6.037563575313754,25.3908148148149,2.654909534555567,0.0,2.6448097581232246,0.0
2016-08-05 19:00:00,10.107457191487686,-14.53949287515809,23.3578168402778,2.52426864200813,0.0,2.649379543568969,0.0
2016-08-05 20:00:00,0.0,-37.49044034040105,21.3212592592593,2.520994682607673,0.0,2.670056417649436,0.0
2016-08-05 21:00:00,0.0,-59.42150950358365,19.2882222222222,2.6292468461337415,0.0,2.6945255354344986,0.0
2016-08-05 22:00:00,0.0,-68.34427756900322,18.6820740740741,2.7005715010189975,0.0,2.7194911090245233,0.0
2016-08-05 23:00:00,0.0,-76.65027476836912,18.081964988426,2.7769753227912335,0.0,2.744625016618891,0.0
2016-08-06 00:00:00,0.0,-84.54347598296778,17.4757777777778,2.8534084230481804,0.0,2.7698109577984367,0.0
2016-08-06 01:00:00,0.0,-91.42737906898782,17.001925925926,2.8390047068644955,0.0,2.794999524371863,0.0
2016-08-06 02:00:00,0.0,-97.93117643172616,16.5259259259259,2.826965008181778,0.0,2.8202119253830142,0.0
2016-08-06 03:00:00,0.0,-103.99705472087629,16.0492592592593,2.8265531530472305,0.0,2.845459129344061,0.0
2016-08-06 04:00:00,0.0,-104.33261302050988,16.3257777777778,2.523843830844147,0.0,2.8707294520155306,0.0
2016-08-06 05:00:00,1.4256694244052077,-104.4768752826485,16.6003703703704,2.244664716332758,0.0,2.8961258620245673,0.0
2016-08-06 06:00:00,108.43191203833783,-104.56523086819374,16.8781872106482,1.993043601665038,0.0,2.921180842156565,0.0
2016-08-06 07:00:00,214.97787882556824,-94.94868247999972,18.8168148148148,2.3259395259886313,0.0,2.9206414795764113,0.0
2016-08-06 08:00:00,331.45352189648224,-84.88025830656699,20.7548148148148,2.684769871379573,0.0,2.9061752335966906,0.0
2016-08-06 09:00:00,439.3209055902761,-70.08903786703036,22.6887798032408,3.061194909934543,0.0,2.882785510709859,0.0
2016-08-06 10:00:00,529.5808306769266,-63.41204589097049,23.8859259259259,2.977080555209245,0.0,2.857358256422255,0.0
2016-08-06 11:00:00,595.6317013875101,-57.937462891425525,25.0783703703704,2.978993512477208,0.0,2.8257450121115353,0.0
2016-08-06 12:00:00,596.73219474114,-53.4837124399528,26.2699259259259,3.0665725036010802,0.0,2.7933275647895,0.0
2016-08-06 13:00:00,568.1936988104176,-43.69720850993076,26.4136296296297,3.2361943782108287,0.0,2.7625104223772876,0.0
2016-08-06 14:00:00,528.8649911799895,-42.39927178565688,26.557002025463,3.428249781006847,0.0,2.734016001263423,0.0
2016-08-06 15:00:00,467.99285594265626,-42.348943735083765,26.7006666666667,3.6360600206618585,0.0,2.707817028576255,0.0
2016-08-06 16:00:00,350.02290160321127,-38.6218975783342,26.0590760995371,3.1937618070625637,0.0,2.6845026028535424,0.0
2016-08-06 17:00:00,228.12758344230036,-33.883814657077494,25.412,2.757239967746642,0.0,2.66772440617746,0.0
2016-08-06 18:00:00,80.8208875660819,-9.228710433657398,24.7712983217593,2.3291353352973734,0.0,2.6576564063230803,0.0
2016-08-06 19:00:00,8.597669562994625,-19.233132329165358,22.5826316550926,2.6261576063123706,0.0,2.6650880717931,0.0
2016-08-06 20:00:00,0.0,-36.860597316850374,20.3923703703704,2.9228527225725127,0.0,2.6876114053089015,0.0
2016-08-06 21:00:00,0.0,-54.40170384024185,18.2018168402778,3.217562938564659,0.0,2.712454720756188,0.0
2016-08-06 22:00:00,0.0,-58.36620511109345,17.6119649884259,3.1340264542018157,0.0,2.7369023351503774,0.0
